id,verb,weighted,classification
1,끓여,0.050911703,끓이기
2,끓이,0.036074153,끓이기
3,끓,0.023899692,끓이기
4,익,0.022815243,끓이기
5,볶,0.02107416,끓이기
6,풀,0.019056933,끓이기
7,불린,0.018677502,끓이기
8,끓인,0.01805989,끓이기
9,붓,0.017985514,끓이기
10,부,0.017080842,끓이기
11,불려,0.016178317,끓이기
12,해,0.016021619,끓이기
13,건져,0.015724267,끓이기
14,끓어오르,0.015657072,끓이기
15,다진,0.015637313,끓이기
16,끓인다,0.015290878,끓이기
17,되,0.014618135,끓이기
18,걷,0.014134598,끓이기
19,끓일,0.013832467,끓이기
20,저,0.013754169,끓이기
21,됩니다,0.013237884,끓이기
22,씻,0.013014907,끓이기
23,있,0.012729066,끓이기
24,맞춰,0.012684186,끓이기
25,썬,0.012463084,끓이기
26,끓여서,0.012205667,끓이기
27,잘라,0.012017833,끓이기
28,우러나,0.011985058,끓이기
29,갈,0.011500051,끓이기
30,맞추,0.011411462,끓이기
31,끓여요,0.011303253,끓이기
32,하,0.011282413,끓이기
33,따라,0.010792935,끓이기
34,대들,0.01029587,끓이기
35,했어도,0.01029587,끓이기
36,만드셨,0.01029587,끓이기
37,걷어가,0.01029587,끓이기
38,낼게요,0.01029587,끓이기
39,건다,0.01029587,끓이기
40,물려,0.01029587,끓이기
41,골라냈,0.01029587,끓이기
42,감한,0.01029587,끓이기
43,둔답니다,0.01029587,끓이기
44,넘김,0.01029587,끓이기
45,주려,0.01029587,끓이기
46,건져야,0.01029587,끓이기
47,늙,0.010114812,끓이기
48,담,0.010074992,끓이기
49,해칠까봐,0.010018029,끓이기
50,즐거워지,0.010018029,끓이기
51,찢어져서,0.010018029,끓이기
52,휘둘러,0.010018029,끓이기
53,짓이기,0.010018029,끓이기
54,남겨진,0.010018029,끓이기
55,한께,0.010018029,끓이기
56,부렀,0.010018029,끓이기
57,들뜨,0.010018029,끓이기
58,밀려서,0.010018029,끓이기
59,꼬이,0.010018029,끓이기
60,만든다고,0.010018029,끓이기
61,생겨난,0.010018029,끓이기
62,돌아댕기,0.010018029,끓이기
63,납시,0.010018029,끓이기
64,불러도,0.010018029,끓이기
65,더해진다,0.010018029,끓이기
66,건너,0.010018029,끓이기
67,사셔도,0.010018029,끓이기
68,박차,0.010018029,끓이기
69,들끓,0.010018029,끓이기
70,아루,0.010018029,끓이기
71,배웠,0.010018029,끓이기
72,쓰러진,0.010018029,끓이기
73,일으킨다는,0.010018029,끓이기
74,섯,0.010018029,끓이기
75,세워진,0.010018029,끓이기
76,더듬,0.010018029,끓이기
77,느껴진다는,0.010018029,끓이기
78,팔렸,0.010018029,끓이기
79,바래,0.010018029,끓이기
80,올께요,0.010018029,끓이기
81,퍼져버려서,0.010018029,끓이기
82,눌렸,0.010018029,끓이기
83,될려면,0.010018029,끓이기
84,퍼짐,0.010018029,끓이기
85,치워,0.010018029,끓이기
86,끼워준,0.010018029,끓이기
87,놓쳐,0.010018029,끓이기
88,가신,0.010018029,끓이기
89,빨아먹,0.010018029,끓이기
90,흐트려,0.010018029,끓이기
91,스민다,0.010018029,끓이기
92,울렁거리,0.010018029,끓이기
93,벗겨짐,0.010018029,끓이기
94,한다지만,0.010018029,끓이기
95,시켜요,0.010018029,끓이기
96,뵈,0.010018029,끓이기
97,맞춰졌,0.010018029,끓이기
98,혼,0.010018029,끓이기
99,우러난다,0.010018029,끓이기
100,준하,0.010018029,끓이기
101,구워,0.07355337,굽기
102,굽,0.035264586,굽기
103,발라,0.026208132,굽기
104,섞,0.02545732,굽기
105,녹인,0.02503765,굽기
106,풀,0.024115895,굽기
